role_bucket,skill,job_mentions
Mobile Development,GraphQL,3
Mobile Development,SQL,3
Mobile Development,Selenium,3
Mobile Development,Docker,2
Mobile Development,Express,2
Mobile Development,JUnit,2
Mobile Development,Machine Learning,2
Mobile Development,Microservices,2
Mobile Development,Node.js,2
Mobile Development,Oracle,2
Mobile Development,Postman,2
Mobile Development,Tableau,2
Mobile Development,TypeScript,2
Mobile Development,Azure,1
Mobile Development,C#,1
Mobile Development,C++,1
Mobile Development,Cypress,1
Mobile Development,Deep Learning,1
Mobile Development,GitHub Actions,1
Mobile Development,Jenkins,1
Mobile Development,Kanban,1
Mobile Development,Kubernetes,1
Mobile Development,PHP,1
Mobile Development,REST API,1
Mobile Development,Ruby,1
Mobile Development,SQLite,1
Quality Assurance,Communication,442
Quality Assurance,Agile,154
Quality Assurance,Excel,115
Quality Assurance,Selenium,100
Quality Assurance,Python,98
Quality Assurance,SQL,96
Quality Assurance,Project Management,71
Quality Assurance,Problem Solving,69
Quality Assurance,Java,68
Quality Assurance,R,62
Quality Assurance,Scrum,62
Quality Assurance,Linux,48
Quality Assurance,Postman,39
Quality Assurance,JavaScript,36
Quality Assurance,Go,35
Quality Assurance,Azure,32
Quality Assurance,CI/CD,30
Quality Assurance,AWS,29
Quality Assurance,Jenkins,28
Quality Assurance,Oracle,28
Quality Assurance,C#,26
Quality Assurance,Cypress,23
Quality Assurance,GCP,23
Quality Assurance,ETL,22
Quality Assurance,C++,20
Quality Assurance,Git,20
Quality Assurance,HTML,15
Quality Assurance,JMeter,10
Quality Assurance,Machine Learning,9
Quality Assurance,React,9
Quality Assurance,Ruby,9
Quality Assurance,Tableau,8
Quality Assurance,TypeScript,8
Quality Assurance,JUnit,7
Quality Assurance,Playwright,7
Quality Assurance,CSS,6
Quality Assurance,Docker,6
Quality Assurance,Express,6
Quality Assurance,Microservices,5
Quality Assurance,MySQL,5
Quality Assurance,PostgreSQL,5
Quality Assurance,Spring,5
Quality Assurance,Kanban,4
Quality Assurance,Node.js,4
Quality Assurance,Power BI,4
Quality Assurance,REST API,4
Quality Assurance,Airflow,3
Quality Assurance,Angular,3
Quality Assurance,Scala,3
Quality Assurance,Spark,3
Quality Assurance,Deep Learning,2
Quality Assurance,Hadoop,2
Quality Assurance,Kubernetes,2
Quality Assurance,Rails,2
Quality Assurance,Spring Boot,2
Quality Assurance,Bootstrap,1
Quality Assurance,Django,1
Quality Assurance,Elasticsearch,1
Quality Assurance,GraphQL,1
Quality Assurance,Kotlin,1
Quality Assurance,NumPy,1
Quality Assurance,PHP,1
Quality Assurance,React Native,1
Quality Assurance,Redis,1
Quality Assurance,Swift,1
Quality Assurance,Terraform,1
Quality Assurance,Vue,1
Quality Assurance,pandas,1
Quality Assurance,pytest,1
Security,Communication,258
Security,AWS,112
Security,Python,106
Security,Azure,100
Security,Linux,83
Security,Agile,56
Security,Project Management,46
Security,Go,38
Security,Java,30
Security,R,25
Security,CI/CD,23
Security,Excel,23
Security,JavaScript,23
Security,Problem Solving,23
Security,SQL,22
Security,Terraform,22
Security,Ruby,20
Security,GCP,19
Security,Kubernetes,16
Security,Machine Learning,15
Security,Scrum,14
Security,Oracle,13
Security,C++,12
Security,Docker,11
Security,Jenkins,10
Security,Git,9
Security,Kanban,7
Security,C#,6
Security,React,6
Security,HTML,5
Security,Microservices,4
Security,MySQL,4
Security,Node.js,4
Security,PHP,4
Security,Rust,4
Security,Swift,4
Security,TypeScript,4
Security,CSS,3
Security,TensorFlow,3
Security,Angular,2
Security,Bootstrap,2
Security,MongoDB,2
Security,NumPy,2
Security,Power BI,2
Security,Rails,2
Security,Redis,2
Security,Spring,2
Security,pandas,2
Security,ETL,1
Security,Express,1
Security,Hadoop,1
Security,Postman,1
Security,PyTorch,1
Security,REST API,1
Security,Spark,1
Security,Vue,1
Software Engineering,Communication,1728
Software Engineering,SQL,1521
Software Engineering,Agile,1394
Software Engineering,Java,1360
Software Engineering,JavaScript,1243
Software Engineering,Python,1207
Software Engineering,AWS,970
Software Engineering,Azure,740
Software Engineering,HTML,717
Software Engineering,C#,716
Software Engineering,React,687
Software Engineering,Git,645
Software Engineering,C++,611
Software Engineering,CI/CD,538
Software Engineering,CSS,523
Software Engineering,Angular,509
Software Engineering,Docker,494
Software Engineering,Kubernetes,483
Software Engineering,Spring,453
Software Engineering,Go,439
Software Engineering,Oracle,434
Software Engineering,Scrum,417
Software Engineering,TypeScript,409
Software Engineering,Microservices,396
Software Engineering,Linux,353
Software Engineering,Jenkins,330
Software Engineering,GCP,272
Software Engineering,Node.js,269
Software Engineering,Spring Boot,254
Software Engineering,Problem Solving,248
Software Engineering,ETL,244
Software Engineering,Machine Learning,215
Software Engineering,MySQL,195
Software Engineering,Project Management,175
Software Engineering,Excel,160
Software Engineering,Terraform,154
Software Engineering,PostgreSQL,151
Software Engineering,Power BI,146
Software Engineering,REST API,141
Software Engineering,MongoDB,139
Software Engineering,R,129
Software Engineering,Spark,124
Software Engineering,PHP,122
Software Engineering,Scala,117
Software Engineering,Vue,111
Software Engineering,Kotlin,103
Software Engineering,Ruby,102
Software Engineering,GraphQL,96
Software Engineering,Swift,90
Software Engineering,JUnit,88
Software Engineering,Express,85
Software Engineering,Redis,85
Software Engineering,Tableau,85
Software Engineering,Bootstrap,83
Software Engineering,Django,78
Software Engineering,React Native,66
Software Engineering,Rails,65
Software Engineering,Selenium,64
Software Engineering,Hadoop,63
Software Engineering,Kanban,57
Software Engineering,Flask,56
Software Engineering,Rust,53
Software Engineering,Cypress,43
Software Engineering,Postman,42
Software Engineering,PyTorch,37
Software Engineering,Airflow,36
Software Engineering,Databricks,36
Software Engineering,Laravel,36
Software Engineering,GitHub Actions,35
Software Engineering,Next.js,34
Software Engineering,Deep Learning,32
Software Engineering,Elasticsearch,32
Software Engineering,TensorFlow,31
Software Engineering,FastAPI,19
Software Engineering,NumPy,18
Software Engineering,Playwright,18
Software Engineering,SQLite,15
Software Engineering,pandas,14
Software Engineering,JMeter,13
Software Engineering,pytest,12
Software Engineering,scikit-learn,12
Software Engineering,Tailwind,10
Software Engineering,Nuxt,3
