resume_id,Category,role_bucket,skill
23864648,INFORMATION-TECHNOLOGY,DevOps & Cloud,Oracle
23864648,INFORMATION-TECHNOLOGY,DevOps & Cloud,Project Management
18187364,INFORMATION-TECHNOLOGY,Software Engineering,Linux
18187364,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
18187364,INFORMATION-TECHNOLOGY,Software Engineering,SQL
83816738,INFORMATION-TECHNOLOGY,Software Engineering,AWS
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Agile
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Bootstrap
83816738,INFORMATION-TECHNOLOGY,Software Engineering,CSS
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Communication
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Git
83816738,INFORMATION-TECHNOLOGY,Software Engineering,HTML
83816738,INFORMATION-TECHNOLOGY,Software Engineering,JUnit
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Java
