resume_id,Category,role_bucket,skill
39718499,INFORMATION-TECHNOLOGY,Other IT,Communication
27058381,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
27058381,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
27058381,INFORMATION-TECHNOLOGY,Data & Analytics,Go
27058381,INFORMATION-TECHNOLOGY,Data & Analytics,Problem Solving
27058381,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
27058381,INFORMATION-TECHNOLOGY,Data & Analytics,R
25857360,INFORMATION-TECHNOLOGY,Other IT,Communication
25857360,INFORMATION-TECHNOLOGY,Other IT,Excel
26768723,INFORMATION-TECHNOLOGY,Mobile Development,CSS
26768723,INFORMATION-TECHNOLOGY,Mobile Development,Linux
31243710,INFORMATION-TECHNOLOGY,Mobile Development,Excel
31243710,INFORMATION-TECHNOLOGY,Mobile Development,Linux
31243710,INFORMATION-TECHNOLOGY,Mobile Development,MySQL
31243710,INFORMATION-TECHNOLOGY,Mobile Development,Project Management
31243710,INFORMATION-TECHNOLOGY,Mobile Development,SQL
15297298,INFORMATION-TECHNOLOGY,Software Engineering,Communication
15297298,INFORMATION-TECHNOLOGY,Software Engineering,Excel
15297298,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
27295996,INFORMATION-TECHNOLOGY,DevOps & Cloud,Azure
27295996,INFORMATION-TECHNOLOGY,DevOps & Cloud,Communication
27295996,INFORMATION-TECHNOLOGY,DevOps & Cloud,Linux
27295996,INFORMATION-TECHNOLOGY,DevOps & Cloud,Project Management
27295996,INFORMATION-TECHNOLOGY,DevOps & Cloud,SQL
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,C#
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,C++
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,HTML
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,Java
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,PHP
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,Problem Solving
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
39413067,INFORMATION-TECHNOLOGY,Data & Analytics,SQL
48037995,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
51363762,INFORMATION-TECHNOLOGY,Software Engineering,Go
51363762,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,AWS
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,Azure
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,CSS
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,ETL
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,HTML
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,Oracle
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,Python
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,R
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,SQL
18067556,INFORMATION-TECHNOLOGY,Data & Analytics,Tableau
27485716,INFORMATION-TECHNOLOGY,Mobile Development,Project Management
26480367,INFORMATION-TECHNOLOGY,IT Support,HTML
26480367,INFORMATION-TECHNOLOGY,IT Support,Project Management
26480367,INFORMATION-TECHNOLOGY,IT Support,Python
81761658,INFORMATION-TECHNOLOGY,IT Support,Communication
81761658,INFORMATION-TECHNOLOGY,IT Support,Linux
81761658,INFORMATION-TECHNOLOGY,IT Support,Project Management
79541391,INFORMATION-TECHNOLOGY,Quality Assurance,Excel
79541391,INFORMATION-TECHNOLOGY,Quality Assurance,SQL
23666211,INFORMATION-TECHNOLOGY,Quality Assurance,Problem Solving
